Product Name,Style Code,Stock Control,Code,Supplier Code,Supplier,Contact ID
WINDSOR 5228 SERIES - OVAL FLUSHPULL - 120 X 40MM - POWDERCOAT,5228-PC,Batch,WIN5228PC,5228-PC,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - UNLACQUERED BRASS,5142-UB,Batch,WIN5142UB,5142-UB,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - DARK ROMAN BRASS,5142-DRB,Batch,WIN5142DRB,5142-DRB,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - NATURAL BRONZE,5142-NB,Batch,WIN5142NB,5142-NB,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - POLISHED BRASS,5142-PB,Batch,WIN5142100P,5142-PB,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - SATIN CHROME,5142-SC,Batch,WIN5142S,5142-SC,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - OIL RUBBED BRONZE,5142-OR,Batch,WIN5142OR,5142-OR,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - POWDERCOAT,5142-PC,Batch,WIN5142PC,5142-PC,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - ROMAN BRASS,5142-RB,Batch,WIN5142RB,5142-RB,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - DARK ROMAN BRASS,5133-DRB,Batch,WIN5133DRB,5133-DRB,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - UNLACQUERED SATIN BRASS,5133-USB,Batch,WIN5133USB,5133-USB,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - ANTIQUE BRONZE,5142-AB,Batch,WIN5142100B,5142-AB,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - BRUSHED NICKEL,5142-BN,Batch,WIN5142BN,5142-BN,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - SILVER PEARL - SILVER PEARL,5133-SVPRL,Batch,WIN5133SVPRL,5133-SVPRL,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - ANTIQUE BRONZE,5133-AB,Batch,WIN5133B,5133-AB,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - BRUSHED NICKEL,5133-BN,Batch,WIN5133BN,5133-BN,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - NATURAL BRONZE,5133-NB,Batch,WIN5133NB,5133-NB,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - POLISHED BRASS,5133-PB,Batch,WIN5133PB,5133-PB,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - SATIN CHROME,5133-SC,Batch,WIN5133S,5133-SC,Windsor Brass,2019
WINDSOR 5133 SERIES - AUTO DOOR HOLDER - UNLACQUERED BRASS,5133-UB,Batch,WIN5133UB,5133-UB,Windsor Brass,2019
WINDSOR 5142 SERIES - CABIN HOOK 100MM - UNLACQUERED SATIN BRASS,5142-USB,Batch,WIN5142USB,5142-USB,Windsor Brass,2019
